rSample: 934, LoadCell: 2725, Duty: 3, Dir: 0
Sample: 935, LoadCell: 2725, Duty: 3, Dir: 0
Sample: 936, LoadCell: 2680, Duty: 3, Dir: 0
Sample: 937, LoadCell: 2715, Duty: 3, Dir: 0
Sample: 938, LoadCell: 2719, Duty: 3, Dir: 1
Sample: 939, LoadCell: 2686, Duty: 3, Dir: 1
Sample: 940, LoadCell: 2681, Duty: 3, Dir: 1
Sample: 941, LoadCell: 2675, Duty: 3, Dir: 1
Sample: 942, LoadCell: 2721, Duty: 3, Dir: 1
Sample: 943, LoadCell: 2723, Duty: 3, Dir: 1
Sample: 944, LoadCell: 2685, Duty: 3, Dir: 1
Sample: 945, LoadCell: 2696, Duty: 3, Dir: 1
Sample: 946, LoadCell: 2712, Duty: 3, Dir: 1
Sample: 947, LoadCell: 2723, Duty: 3, Dir: 1
Sample: 948, LoadCell: 2682, Duty: 3, Dir: 1
Sample: 949, LoadCell: 2683, Duty: 3, Dir: 1
Sample: 950, LoadCell: 2703, Duty: 3, Dir: 1
Sample: 951, LoadCell: 2713, Duty: 3, Dir: 1
Sample: 952, LoadCell: 2706, Duty: 3, Dir: 1
Sample: 953, LoadCell: 2724, Duty: 3, Dir: 1
Sample: 954, LoadCell: 2677, Duty: 3, Dir: 1
Sample: 955, LoadCell: 2709, Duty: 3, Dir: 1
Sample: 956, LoadCell: 2714, Duty: 3, Dir: 1
Sample: 957, LoadCell: 2729, Duty: 3, Dir: 1
Sample: 958, LoadCell: 2692, Duty: 3, Dir: 1
Sample: 959, LoadCell: 2708, Duty: 3, Dir: 1
Sample: 960, LoadCell: 2719, Duty: 3, Dir: 1
Sample: 961, LoadCell: 2696, Duty: 3, Dir: 1
Sample: 962, LoadCell: 2704, Duty: 3, Dir: 1
Sample: 963, LoadCell: 2686, Duty: 3, Dir: 1
Sample: 964, LoadCell: 2682, Duty: 3, Dir: 1
Sample: 965, LoadCell: 2700, Duty: 3, Dir: 1
Sample: 966, LoadCell: 2720, Duty: 3, Dir: 1
Sample: 967, LoadCell: 2712, Duty: 3, Dir: 1
