-, -7.14046, 0, 1, 280.  0
58.847, -8.16888, -7.14110, 0, 1, 280.  0
58.787, -8.16847, -7.14078, 0, 1, 280.  0
58.847, -8.16868, -7.14094, 0, 1, 280.  0
58.847, -8.16767, -7.14013, 0, 1, 280.  0
58.847, -8.16847, -7.14078, 0, 1, 280.  0
58.847, -8.16827, -7.14062, 0, 1, 280.  0
58.787, -8.16868, -7.14094, 0, 1, 280.  0
58.847, -8.16787, -7.14030, 0, 1, 280.  0
58.747, -8.16868, -7.14094, 0, 1, 280.  0
58.847, -8.16807, -7.14046, 0, 1, 280.  0
58.827, -8.16888, -7.14110, 0, 1, 280.  0
58.847, -8.16868, -7.14094, 0, 1, 280.  0
58.787, -8.16847, -7.14078, 0, 1, 280.  0
58.807, -8.16827, -7.14062, 0, 1, 280.  0
58.827, -8.16868, -7.14094, 0, 1, 280.  0
58.868, -8.16868, -7.14094, 0, 1, 280.  0
58.787, -8.16807, -7.14046, 0, 1, 280.  0
58.787, -8.16847, -7.14078, 0, 1, 280.  0
58.787, -8.16807, -7.14046, 0, 1, 280.  0
58.868, -8.16868, -7.14094, 0, 1, 280.  0
58.827, -8.16787, -7.14030, 0, 1, 280.  0
58.847, -8.16868, -7.14094, 0, 1, 280.  0
58.847, -8.16827, -7.14062, 0, 1, 280.  0
58.807, -8.16767, -7.14013, 0, 1, 280.  0
58.868, -8.16847, -7.14078, 0, 1, 280.  0
58.827, -8.16868, -7.14094, 0, 1, 280.  0
58.888, -8.16807, -7.14046, 0, 1, 280.  0
58.787, -8.16827, -7.14062, 0, 1, 280.  0
58.827, -9.18291, -8.16362, 0, 1, 319.999
58.747, -8.16847, -7.14078, 0, 1, 280.  0
58.888, -8.16847, -7.14078, 0, 1, 280.  0
58.787, -8.16787, -7.14030, 0, 1, 280.  0
58.847, -8.16847, -7.14078, 0, 1, 280.  0
58.807, -8.16807, -7.14046, 0, 1, 280.  0
58.847, -8.16868, -7.14094, 0, 1, 280.  0
58.847, -8.16807, -7.14046, 0, 1, 280.  0
58.827, -8.16888, -7.14110, 0, 1, 280.  0
59.331, -8.16807, -7.14046, 0, 1, 280.  0
58.767, -8.16827, -7.14062, 0, 1, 280.  0
58.827, -8.16767, -7.14013, 0, 1, 280.  0
58.827, -8.16847, -7.14078, 0, 1, 280.  0
58.908, -8.16847, -7.14078, 0, 1, 280.  0
58.807, -8.16847, -7.14078, 0, 1, 280.  0
58.847, -8.16807, -7.14046, 0, 1, 280.  0
58.787, -8.16847, -7.14078, 0, 1, 280.  0
58.868, -8.16827, -7.14062, 0, 1, 280.  0
58.807, -8.16888, -7.14110, 0, 1, 280.  0
58.847, -8.16868, -7.14094, 0, 1, 280.  0
58.787, -8.16807, -7.14046, 0, 1, 280.  0
58.868, -8.16888, -7.14110, 0, 1, 280.  0
58.787, -8.16767, -7.14013, 0, 1, 280.  0
58.868, -8.16827, -7.14062, 0, 1, 280.  0
58.868, -8.16767, -7.14013, 0, 1, 280.  0
58.847, -8.16868, -7.14094, 0, 1, 280.  0
58.868, -8.16807, -7.14046, 0, 1, 280.  0
58.827, -8.16827, -7.14062, 0, 1, 280.  0
58.847, -8.16787, -7.14030, 0, 1, 280.  0
58.807, -8.16827, -7.14062, 0, 1, 280.  0
58.847, -8.16807, -7.14046, 0, 1, 280.  0
58.747, -8.16868, -7.14094, 0, 1, 280.  0
58.827, -8.16465, -6.12772, 0, 1, 239.999
58.827, -8.16847, -7.14078, 0, 1, 280.  0
58.847, -8.16827, -7.14062, 0, 1, 280.  0
58.787, -8.16807, -7.14046, 0, 1, 280.  0
58.888, -8.16868, -7.14094, 0, 1, 280.  0
58.787, -8.16807, -7.14046, 0, 1, 280.  0
58.827, -8.16827, -7.14062, 0, 1, 280.  0
58.767, -8.16827, -7.14062, 0, 1, 280.  0
58.868, -8.16807, -7.14046, 0, 1, 280.  0
58.485, -8.16827, -7.14062, 0, 1, 280.  0
58.847, -8.16868, -7.14094, 0, 1, 280.  0
58.807, -8.16807, -7.14046, 0, 1, 280.  0
58.787, -8.16868, -7.14094, 0, 1, 280.  0
58.868, -8.16807, -7.14046, 0, 1, 280.  0
58.847, -8.16868, -7.14094, 0, 1, 280.  0
58.868, -8.16827, -7.14062, 0, 1, 280.  0
