
 System Startup!

 Motor Initialized! 

 Load Cell Configured! 

 Controller Initialized! 
62. 31, -15.30597, -23.46395, 0, 1, 920.  0
64.992, -14.28992, -20.40989, 0, 1, 800.  0
57.679, -10.20217, -10.20217, 0, 1, 400.  0
51.756, -7.14175, -5.10023, 0, 1, 200.  0
51.212, -1.2212, 0.121, 0, 1, 0.  0
43.798, 3.159, 0.979, 1, 1, 0.  0
43.456, 6.543, 4. 23, 1, 1, 159.999
40.917, 9. 82, 8.362, 1, 1, 319.999
39.144, 10.855, 11.151, 1, 1, 439.999
41.542, 8.981, 7.661, 1, 1, 280.  0
43.355, 6.644, 4.529, 1, 1, 159.999
46.880, 3.119, 1.540, 1, 1, 39.999
58.465, -1.2716, 0.416, 1, 1, 0.  0
65.778, -9.18210, -7.14793, 0, 1, 280.  0
69.163, -19.38163, -36.72297, 0, 1, 1440.  0
74.642, -24.48642, -59.118142, 0, 1, 2359.999
78.732, -28.56732, -80.160451, 0, 1, 3200.  0
74.360, -28.56349, -79.158379, 0, 1, 3160.  0
73.796, -23.46796, -54.108732, 0, 1, 2160.  0
67.531, -17.34531, -29.58802, 0, 1, 1159.999
60.560, -10.20560, -10.20560, 0, 1, 400.  0
54.133, -4.8133, -1.2653, 0, 1, 39.999
46. 95, 1.  3, 0.110, 1, 1, 0.  0
45.974, 4. 25, 1.660, 1, 1, 39.999
42.771, 6. 20, 3.722, 1, 1, 119.999
41.763, 7.510, 5.443, 1, 1, 200.  0
42.670, 7.329, 5.389, 1, 1, 200.  0
43.858, 6.141, 4.  4, 1, 1, 159.999
45.631, 4.368, 2.111, 1, 1, 79.999
49.278, 0.721, 0.371, 1, 1, 0.  0
54.456, -4.8456, -1.2455, 0, 1, 39.999
59.673, -9.18673, -8.16476, 0, 1, 319.999
64.952, -14.28952, -20.40852, 0, 1, 800.  0
69.485, -19.38485, -37.74022, 0, 1, 1480.  0
72.608, -22.44608, -49.98737, 0, 1, 1960.  0
