Sample:float,Data:float
"50.0","2364.0"
"51.0","2127.0"
"52.0","317.0"
"53.0","941.0"
"54.0","981.0"
"55.0","1019.0"
"56.0","1160.0"
"57.0","2335.0"
"58.0","2012.0"
"59.0","2186.0"
"60.0","2426.0"
"61.0","2380.0"
"62.0","2409.0"
"63.0","2519.0"
"64.0","2538.0"
"65.0","2603.0"
"66.0","2588.0"
"67.0","2600.0"
"68.0","2423.0"
"69.0","2319.0"
"70.0","2288.0"
"71.0","2066.0"
"72.0","346.0"
"73.0","1033.0"
"74.0","1034.0"
"75.0","1048.0"
"76.0","1112.0"
"77.0","2216.0"
"78.0","2077.0"
"79.0","2058.0"
"80.0","2452.0"
"81.0","2360.0"
"82.0","2452.0"
"83.0","2547.0"
"84.0","2582.0"
"85.0","2630.0"
"86.0","2637.0"
"87.0","2451.0"
"88.0","2328.0"
"89.0","2361.0"
"90.0","2210.0"
"91.0","1802.0"
"92.0","887.0"
"93.0","1043.0"
"94.0","1022.0"
"95.0","1103.0"
"96.0","2329.0"
"97.0","2105.0"
"98.0","2035.0"
"99.0","2422.0"
"100.0","2429.0"
"101.0","2414.0"
"102.0","2537.0"
"103.0","2579.0"
"104.0","2651.0"
"105.0","2612.0"
"106.0","2604.0"
"107.0","2359.0"
"108.0","2302.0"
"109.0","2368.0"
"110.0","2150.0"
"111.0","707.0"
"112.0","899.0"
"113.0","1049.0"
"114.0","1017.0"
"115.0","1087.0"
"116.0","2294.0"
"117.0","2211.0"
"118.0","2020.0"
"119.0","2342.0"
"120.0","2401.0"
"121.0","2375.0"
"122.0","2549.0"
"123.0","2598.0"
"124.0","2636.0"
"125.0","2635.0"
"126.0","2496.0"
"127.0","2325.0"
"128.0","2344.0"
"129.0","2324.0"
"130.0","1981.0"
"131.0","533.0"
"132.0","1066.0"
"133.0","1006.0"
"134.0","1034.0"
"135.0","1136.0"
"136.0","2376.0"
"137.0","1985.0"
"138.0","2106.0"
"139.0","2455.0"
"140.0","2366.0"
"141.0","2445.0"
"142.0","2537.0"
"143.0","2611.0"
"144.0","2629.0"
"145.0","2613.0"
"146.0","2479.0"
"147.0","2303.0"
"148.0","2316.0"
"149.0","2348.0"
"150.0","2017.0"
"151.0","196.0"
"152.0","1055.0"
"153.0","1023.0"
"154.0","1106.0"
"155.0","2337.0"
"156.0","2129.0"
"157.0","2048.0"
"158.0","2365.0"
"159.0","2417.0"
"160.0","2468.0"
"161.0","2577.0"
"162.0","2575.0"
"163.0","2648.0"
"164.0","2612.0"
"165.0","2488.0"
"166.0","2304.0"
"167.0","2001.0"
"168.0","82.0"
"169.0","1081.0"
"170.0","993.0"
"171.0","1049.0"
"172.0","1693.0"
"173.0","2334.0"
"174.0","2004.0"
"175.0","2308.0"
"176.0","2451.0"
"177.0","2401.0"
"178.0","2521.0"
"179.0","2608.0"
"180.0","2602.0"
"181.0","2607.0"
"182.0","2531.0"
"183.0","2463.0"
"184.0","2335.0"
"185.0","2362.0"
"186.0","2297.0"
"187.0","1959.0"
"188.0","908.0"
"189.0","1078.0"
"190.0","995.0"
"191.0","1037.0"
"192.0","1956.0"
"193.0","2304.0"
"194.0","2036.0"
"195.0","2272.0"
"196.0","2476.0"
"197.0","2397.0"
"198.0","2500.0"
"199.0","2602.0"
"200.0","2631.0"
"201.0","2651.0"
"202.0","2480.0"
"203.0","2452.0"
"204.0","2334.0"
"205.0","2366.0"
"206.0","2307.0"
"207.0","2069.0"
"208.0","404.0"
"209.0","1008.0"
"210.0","1043.0"
"211.0","1013.0"
"212.0","1082.0"
"213.0","2418.0"
"214.0","2121.0"
"215.0","2128.0"
"216.0","2333.0"
"217.0","2362.0"
"218.0","2526.0"
"219.0","2615.0"
"220.0","2631.0"
"221.0","2610.0"
"222.0","2700.0"
"223.0","2301.0"
"224.0","2369.0"
"225.0","2092.0"
"226.0","91.0"
"227.0","935.0"
"228.0","998.0"
"229.0","1016.0"
"230.0","1067.0"
"231.0","2361.0"
"232.0","2110.0"
"233.0","2037.0"
"234.0","2475.0"
"235.0","2407.0"
"236.0","2407.0"
"237.0","2587.0"
"238.0","2612.0"
"239.0","2639.0"
"240.0","2660.0"
"241.0","2523.0"
"242.0","2314.0"
"243.0","2348.0"
"244.0","2293.0"
"245.0","2019.0"
"246.0","458.0"
"247.0","1061.0"
"248.0","1012.0"
"249.0","1027.0"
