Sample:float,Data:float
"2.0","2293.0"
"3.0","2283.0"
"4.0","2306.0"
"5.0","2280.0"
"6.0","2292.0"
"7.0","2275.0"
"8.0","2309.0"
"9.0","2281.0"
"10.0","2276.0"
"11.0","2295.0"
"12.0","2311.0"
"13.0","2272.0"
"14.0","2284.0"
"15.0","2305.0"
"16.0","2301.0"
"17.0","2282.0"
"18.0","2296.0"
"19.0","2303.0"
"20.0","2291.0"
"21.0","2279.0"
"22.0","2306.0"
"23.0","2307.0"
"24.0","2294.0"
"25.0","2283.0"
"26.0","2306.0"
"27.0","2298.0"
"28.0","2300.0"
"29.0","2289.0"
"30.0","2281.0"
"31.0","2281.0"
"32.0","2301.0"
"33.0","2276.0"
"34.0","2281.0"
"35.0","2299.0"
"36.0","2289.0"
"37.0","2286.0"
"38.0","2267.0"
"39.0","2294.0"
"40.0","2299.0"
"41.0","2301.0"
"42.0","2276.0"
"43.0","2295.0"
"44.0","2280.0"
"45.0","2285.0"
"46.0","2300.0"
"47.0","2301.0"
"48.0","2283.0"
"49.0","2294.0"
"50.0","2275.0"
"51.0","2269.0"
"52.0","2290.0"
"53.0","2294.0"
"54.0","2304.0"
"55.0","2298.0"
"56.0","2302.0"
"57.0","2282.0"
"58.0","2296.0"
"59.0","2283.0"
"60.0","2300.0"
"61.0","2319.0"
"62.0","2285.0"
"63.0","2305.0"
"64.0","2282.0"
"65.0","2272.0"
"66.0","2284.0"
"67.0","2297.0"
"68.0","2281.0"
"69.0","2308.0"
"70.0","2297.0"
"71.0","2288.0"
"72.0","2287.0"
"73.0","2206.0"
"74.0","2053.0"
"75.0","1824.0"
"76.0","1637.0"
"77.0","1486.0"
"78.0","1383.0"
"79.0","1296.0"
"80.0","1210.0"
"81.0","1225.0"
"82.0","1203.0"
"83.0","1176.0"
"84.0","1163.0"
"85.0","1235.0"
"86.0","1320.0"
"87.0","1625.0"
"88.0","2103.0"
"89.0","2468.0"
"90.0","2589.0"
"91.0","2742.0"
"92.0","2759.0"
"93.0","2852.0"
"94.0","2835.0"
"95.0","2799.0"
"96.0","2804.0"
"97.0","2860.0"
"98.0","2798.0"
"99.0","2822.0"
"100.0","2839.0"
"101.0","2823.0"
"102.0","2805.0"
"103.0","2844.0"
"104.0","2831.0"
"105.0","2820.0"
"106.0","2809.0"
"107.0","2846.0"
"108.0","2826.0"
"109.0","2825.0"
"110.0","2830.0"
"111.0","2850.0"
"112.0","2821.0"
"113.0","2834.0"
"114.0","2828.0"
"115.0","2815.0"
"116.0","2821.0"
"117.0","2814.0"
"118.0","2849.0"
"119.0","2807.0"
"120.0","2844.0"
"121.0","2819.0"
"122.0","2824.0"
"123.0","2792.0"
"124.0","2842.0"
"125.0","2813.0"
"126.0","2806.0"
"127.0","2840.0"
"128.0","2796.0"
"129.0","2810.0"
"130.0","2845.0"
"131.0","2825.0"
"132.0","2799.0"
"133.0","2823.0"
"134.0","2808.0"
"135.0","2830.0"
"136.0","2828.0"
"137.0","2825.0"
"138.0","2834.0"
"139.0","2824.0"
"140.0","2803.0"
"141.0","2814.0"
"142.0","2837.0"
"143.0","2828.0"
"144.0","2822.0"
"145.0","2794.0"
"146.0","2823.0"
"147.0","2827.0"
"148.0","2822.0"
"149.0","2798.0"
"150.0","2824.0"
"151.0","2817.0"
"152.0","2829.0"
"153.0","2843.0"
"154.0","2808.0"
"155.0","2832.0"
"156.0","2810.0"
"157.0","2839.0"
"158.0","2833.0"
"159.0","2817.0"
"160.0","2834.0"
"161.0","2805.0"
"162.0","2839.0"
"163.0","2824.0"
"164.0","2834.0"
"165.0","2822.0"
"166.0","2846.0"
"167.0","2802.0"
"168.0","2818.0"
"169.0","2822.0"
"170.0","2837.0"
"171.0","2839.0"
"172.0","2839.0"
"173.0","2820.0"
"174.0","2812.0"
"175.0","2826.0"
"176.0","2805.0"
"177.0","2835.0"
"178.0","2822.0"
"179.0","2800.0"
"180.0","2824.0"
"181.0","2807.0"
"182.0","2810.0"
"183.0","2813.0"
"184.0","2812.0"
"185.0","2808.0"
"186.0","2833.0"
"187.0","2835.0"
"188.0","2799.0"
"189.0","2812.0"
"190.0","2840.0"
"191.0","2830.0"
"192.0","2814.0"
"193.0","2820.0"
"194.0","2837.0"
"195.0","2807.0"
"196.0","2827.0"
"197.0","2826.0"
"198.0","2801.0"
"199.0","2830.0"
"200.0","2833.0"
"201.0","2813.0"
