Sample:float,Data:float
"0.0","0.0"
"1.0","0.0"
"2.0","2475.0"
"3.0","2473.0"
"4.0","2487.0"
"5.0","2496.0"
"6.0","2479.0"
"7.0","2468.0"
"8.0","2466.0"
"9.0","2498.0"
"10.0","2500.0"
"11.0","2479.0"
"12.0","2471.0"
"13.0","2463.0"
"14.0","2454.0"
"15.0","2489.0"
"16.0","2479.0"
"17.0","2499.0"
"18.0","2502.0"
"19.0","2502.0"
"20.0","2457.0"
"21.0","2471.0"
"22.0","2470.0"
"23.0","1868.0"
"24.0","2138.0"
"25.0","825.0"
"26.0","2480.0"
"27.0","2157.0"
"28.0","2373.0"
"29.0","3039.0"
"30.0","3002.0"
"31.0","3155.0"
"32.0","3320.0"
"33.0","3499.0"
"34.0","3309.0"
"35.0","3262.0"
"36.0","4095.0"
"37.0","4095.0"
"38.0","3044.0"
"39.0","3608.0"
"40.0","3487.0"
"41.0","3430.0"
"42.0","3329.0"
"43.0","3126.0"
"44.0","3036.0"
"45.0","2952.0"
"46.0","2727.0"
"47.0","2464.0"
"48.0","2408.0"
"49.0","2077.0"
"50.0","10.0"
"51.0","74.0"
"52.0","2403.0"
"53.0","2701.0"
"54.0","2401.0"
"55.0","2615.0"
"56.0","3110.0"
"57.0","3077.0"
"58.0","3024.0"
"59.0","3316.0"
"60.0","3375.0"
"61.0","3339.0"
"62.0","3363.0"
"63.0","3673.0"
"64.0","3193.0"
"65.0","4095.0"
"66.0","4095.0"
"67.0","3031.0"
"68.0","3013.0"
"69.0","3429.0"
"70.0","3177.0"
"71.0","3048.0"
"72.0","2926.0"
"73.0","2707.0"
"74.0","2463.0"
"75.0","2192.0"
"76.0","87.0"
"77.0","76.0"
"78.0","1679.0"
"79.0","2789.0"
"80.0","2505.0"
"81.0","2384.0"
"82.0","3072.0"
"83.0","3042.0"
"84.0","3132.0"
"85.0","3399.0"
"86.0","3444.0"
"87.0","3945.0"
"88.0","4095.0"
"89.0","4095.0"
"90.0","2695.0"
"91.0","3638.0"
"92.0","3411.0"
"93.0","3394.0"
"94.0","3099.0"
"95.0","3077.0"
"96.0","2984.0"
"97.0","2938.0"
"98.0","2708.0"
"99.0","2528.0"
"100.0","2407.0"
"101.0","2247.0"
"102.0","2067.0"
"103.0","52.0"
"104.0","26.0"
"105.0","39.0"
"106.0","2646.0"
"107.0","2467.0"
"108.0","2423.0"
"109.0","2647.0"
"110.0","3053.0"
"111.0","3101.0"
"112.0","3024.0"
"113.0","3417.0"
"114.0","3354.0"
"115.0","3393.0"
"116.0","3278.0"
"117.0","3806.0"
"118.0","3004.0"
"119.0","4095.0"
"120.0","4095.0"
"121.0","2006.0"
"122.0","3951.0"
"123.0","3642.0"
"124.0","3296.0"
"125.0","3406.0"
"126.0","3393.0"
"127.0","3050.0"
