Sample:float,Data:float
"16712.0","2352.0"
"16713.0","2351.0"
"16714.0","2338.0"
"16715.0","2392.0"
"16716.0","2338.0"
"16717.0","2352.0"
"16718.0","2364.0"
"16719.0","2380.0"
"16720.0","2348.0"
"16721.0","2368.0"
"16722.0","2375.0"
"16723.0","2373.0"
"16724.0","2356.0"
"16725.0","2360.0"
"16726.0","2375.0"
"16727.0","2386.0"
"16728.0","2341.0"
"16729.0","2127.0"
"16730.0","1919.0"
"16731.0","1678.0"
"16732.0","1474.0"
"16733.0","1336.0"
"16734.0","1272.0"
"16735.0","1223.0"
"16736.0","1179.0"
"16737.0","1120.0"
"16738.0","1140.0"
"16739.0","1172.0"
"16740.0","1224.0"
"16741.0","1359.0"
"16742.0","1552.0"
"16743.0","1680.0"
"16744.0","2292.0"
"16745.0","2539.0"
"16746.0","2755.0"
"16747.0","2832.0"
"16748.0","2900.0"
"16749.0","2939.0"
"16750.0","2921.0"
"16751.0","2957.0"
"16752.0","2971.0"
"16753.0","2954.0"
"16754.0","2928.0"
"16755.0","2943.0"
"16756.0","2928.0"
"16757.0","2888.0"
"16758.0","2927.0"
"16759.0","2967.0"
"16760.0","2916.0"
"16761.0","2916.0"
"16762.0","2913.0"
"16763.0","2941.0"
"16764.0","2943.0"
"16765.0","2905.0"
"16766.0","2913.0"
"16767.0","2943.0"
"16768.0","2924.0"
"16769.0","2945.0"
"16770.0","2895.0"
"16771.0","2929.0"
"16772.0","2832.0"
"16773.0","2909.0"
"16774.0","2904.0"
"16775.0","2924.0"
"16776.0","2942.0"
"16777.0","2904.0"
"16778.0","2899.0"
"16779.0","2939.0"
"16780.0","2906.0"
"16781.0","2889.0"
"16782.0","2908.0"
"16783.0","2900.0"
"16784.0","2931.0"
"16785.0","2890.0"
"16786.0","2899.0"
"16787.0","2900.0"
"16788.0","2909.0"
"16789.0","2931.0"
"16790.0","2918.0"
"16791.0","2927.0"
"16792.0","2922.0"
"16793.0","2910.0"
"16794.0","2951.0"
"16795.0","2906.0"
"16796.0","2912.0"
"16797.0","2951.0"
"16798.0","2943.0"
"16799.0","2901.0"
"16800.0","2946.0"
"16801.0","2884.0"
"16802.0","2914.0"
"16803.0","2912.0"
"16804.0","2917.0"
"16805.0","2932.0"
"16806.0","2925.0"
"16807.0","2953.0"
"16808.0","2944.0"
"16809.0","2938.0"
"16810.0","2943.0"
"16811.0","2902.0"
"16812.0","2943.0"
"16813.0","2927.0"
"16814.0","2904.0"
"16815.0","2908.0"
"16816.0","2926.0"
"16817.0","2941.0"
"16818.0","2917.0"
"16819.0","2903.0"
"16820.0","2931.0"
"16821.0","2897.0"
"16822.0","2907.0"
"16823.0","2967.0"
"16824.0","2931.0"
"16825.0","2933.0"
"16826.0","2943.0"
"16827.0","2916.0"
"16828.0","2924.0"
"16829.0","2928.0"
"16830.0","2947.0"
"16831.0","2896.0"
"16832.0","2927.0"
"16833.0","2908.0"
"16834.0","2950.0"
"16835.0","2906.0"
"16836.0","2888.0"
"16837.0","2911.0"
"16838.0","2935.0"
"16839.0","2897.0"
"16840.0","2928.0"
"16841.0","2941.0"
"16842.0","2890.0"
"16843.0","2926.0"
"16844.0","2937.0"
"16845.0","2891.0"
"16846.0","2904.0"
"16847.0","2902.0"
"16848.0","2953.0"
"16849.0","2926.0"
"16850.0","2936.0"
"16851.0","2921.0"
"16852.0","2906.0"
"16853.0","2900.0"
"16854.0","2950.0"
"16855.0","2900.0"
"16856.0","2898.0"
"16857.0","2899.0"
"16858.0","2952.0"
"16859.0","2918.0"
"16860.0","2955.0"
"16861.0","2916.0"
"16862.0","2923.0"
"16863.0","2934.0"
"16864.0","2897.0"
"16865.0","2930.0"
"16866.0","2942.0"
"16867.0","2926.0"
"16868.0","2902.0"
"16869.0","2908.0"
"16870.0","2890.0"
"16871.0","2908.0"
"16872.0","2931.0"
"16873.0","2906.0"
"16874.0","2904.0"
"16875.0","2916.0"
"16876.0","2884.0"
"16877.0","2919.0"
"16878.0","2927.0"
"16879.0","2922.0"
"16880.0","2892.0"
"16881.0","2898.0"
"16882.0","2920.0"
"16883.0","2949.0"
"16884.0","2940.0"
"16885.0","2922.0"
"16886.0","2902.0"
"16887.0","2949.0"
"16888.0","2899.0"
"16889.0","2895.0"
"16890.0","2909.0"
"16891.0","2925.0"
"16892.0","2907.0"
"16893.0","2906.0"
"16894.0","2904.0"
"16895.0","2937.0"
"16896.0","2951.0"
"16897.0","2941.0"
"16898.0","2919.0"
"16899.0","2934.0"
"16900.0","2928.0"
"16901.0","2912.0"
"16902.0","2898.0"
"16903.0","2905.0"
"16904.0","2963.0"
"16905.0","2904.0"
"16906.0","2898.0"
"16907.0","2942.0"
"16908.0","2903.0"
"16909.0","2957.0"
"16910.0","2896.0"
"16911.0","2890.0"
