Part/Designator,DigiKey,Quantity,Description,
Power,,,,
PS1,811-1706-5-ND,1,12V to 5V DC DC Converter,
C9,490-10733-2-ND,1,2.2uF capacitor 0603,
x1,WM7620TR-ND,1,2 pos picoblade,
C1,311-1341-2-ND,1,0.1uF capacitor 0603,
,,,,
Indication LED,,,,
D2,160-1447-1-ND,1,Red LED 0603,12V
D4,160-1435-2-ND,1,Green LED 0603,5V
R4,311-1.0KGRTR-ND,1,1k 0603 resistor,
R5,311-4.7KGRTR-ND,1,4k7 0603 resistor,
,,,,
Tiva Connector,,,,
Male header,952-1386-ND,2,10x2 male headers,
,,,,
Load Cell,,,,
x2,WM7622TR-ND,1,"4 pos picoblade, rt angle",
"R7, R8",311-10.0KHRTR-ND,2,"10Kohm resitor, 0603",
IC1,INA125U-ND,1,INA125U,
C3,311-1341-2-ND,`,0.1uF capacitor 0603,
RG,3266Y-1-103LF-ND,1,Trimming POT 10K,
,,,,
Thermocouple,,,,
x3,WM7621CT-ND,1,3 pos PICOblade conn,
,,,,
Absolute Encoders,,,,
IC2,1016-1830-1-ND,1,SP490 ,
x5,WM7626CT-ND,1,"8 pos, pico blade connector",
,,,,
Incremental Encoder,,,,
IC3,296-14954-2-ND,1,SN75175,
x11,WM7628TR-ND,1,10 pos pico blade,
,,,,
CAN,,,,
IC4,MCP2551-I/SN-ND,1,MCP2551,
x4,WM1754TR-ND,1,3 pos picoblade,
S1,CT2194LPST-ND,1,4 pos DIP switch,
R6,311-4.7KGRCT-ND,,"4.7k, 0603",
R9,P120GCT-ND,1,"120 ohm, 0603",
"R10, 11, 12",311-10.0KHRTR-ND,3,"10k, 0603",
C10,445-1316-2-ND,1,100nF,
,,,,
Reset,,,,
S2,SW793-ND,1,Reset switch,
C16,445-1316-2-ND,1,100nF Cap,
R13,311-10.0KHRTR-ND,,10K Resistor,
,,,,
Debug LED,,,,
LED1,475-2816-1-ND,1,Blue,
LED2,160-1448-1-ND,1,Yellow,
"R1, R2",311-4.7KGRTR-ND,2,"4k7, 0603",
,,,,
Additional ADC,,,,
x12,WM7620TR-ND,1,2 pos picoblade,
,,,,
Additional SPI,,,,
x13,WM7626CT-ND,1,"8 pos, pico blade",
,,,,
I2C,,,,
x10,WM7622TR-ND,1,4 pos Pico blade,
,,,,
GPIO,,,,
"x7, x8, x9",WM7620TR-ND,,2 pos picoblade,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Female Components,,,,
PicoBlade 2 pos,WM1720-ND,2,"2 pos, picoblade","Power, ADC and GPIO additional"
PicoBlade 4 pos,WM1722-ND,1,"4 pos picoblade, female","Load cell , I2C"
Picoblade 3 pos,WM1721-ND,1,"3 pos, female","Thermocople, CAN"
PicoBlade 8 pos,WM1726-ND,1,"8 pos, female","Absolute Encoder, add SPI"
PicoBlade 10 pos,WM1728-ND,1,10 pos,Incremental Encoder
