Part/Designator,DigiKey,Quantity,Description,
Power,,,,
PS1,811-1706-5-ND,1,12V to 5V DC DC Converter,
C9,490-10733-2-ND,1,2.2uF capacitor 0603,
x1,WM7620TR-ND,1,2 pos picoblade,
C1,311-1341-2-ND,1,0.1uF capacitor 0603,
,,,,
Indication LED,,,,
D2,160-1447-1-ND,1,Red LED 0603,12V
D4,160-1435-2-ND,1,Green LED 0603,5V
R4,311-1.0KGRTR-ND,1,1k 0603 resistor,
R5,311-4.7KGRTR-ND,1,4k7 0603 resistor,
,,,,
Tiva Connector,,,,
Male header,952-1386-ND,2,10x2 male headers,
,,,,
Load Cell,,,,
Con3,WM7622TR-ND,1,"4 pos picoblade, rt angle",
"R7, R8",311-10.0KHRTR-ND,2,"10Kohm resitor, 0603",
IC1,INA125U-ND,1,INA125U,
C3,311-1341-2-ND,`,0.1uF capacitor 0603,
RG,3266Y-1-103LF-ND,1,,
,,,,
Thermocouple,,,,
X4,WM7621CT-ND,1,3 pos PICOblade conn,
,,,,
Additional ADC,,,,
x3,WM7620TR-ND,1,2 pos picoblade,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Female Components,,,,
PicoBlade 2 pos,WM1720-ND,2,,"Power, ADC additional"
PicoBlade 4 pos,WM1722-ND,1,"4 pos picoblade, female",Load cell 
Picoblade 3 pos,WM1721-ND,1,"3 pos, female",Thermocople
